# GTAC_scan    Target    Total_beams    uGMRT_band    Input_file (0 for RAW, 1 for FIL)
49_153_20260227_172309    FRB20231206A_20260227_182551    160    BAND5    1
49_153_20260227_172309    FRB20231206A_20260227_192407    160    BAND5    1
49_153_20260227_172309    FRB20231206A_20260227_201726    160    BAND5    1
49_153_20260227_172309    FRB20231206A_20260227_211103    160    BAND5    1
49_153_20260227_172309    FRB20231206A_20260227_220511    160    BAND5    1
49_153_20260227_172309    FRB20231206A_20260227_225851    160    BAND5    1
49_153_20260227_172309    FRB20231206A_20260227_235243    160    BAND5    1
49_153_20260227_172309    FRB20231206A_20260228_005845    160    BAND5    1
49_153_20260224_175646    FRB20231206A_20260224_182618    160    BAND5    1
49_153_20260224_175646    FRB20231206A_20260224_191917    160    BAND5    1
49_153_20260224_175646    FRB20231206A_20260224_201621    160    BAND5    1
49_153_20260224_175646    FRB20231206A_20260224_204422    160    BAND5    1
49_153_20260224_175646    FRB20231206A_20260224_210858    160    BAND5    1
49_153_20260224_175646    FRB20231206A_20260224_220202    160    BAND5    1
49_153_20260224_175646    FRB20231206A_20260224_225450    160    BAND5    1
49_153_20260224_175646    FRB20231206A_20260224_234716    160    BAND5    1
49_158_20260222_161521    M94971901_20260222_172203    160    BAND5    1
49_158_20260222_161521    M94971901_20260222_180543    160    BAND5    1
49_158_20260222_161521    M94971901_20260222_184912    160    BAND5    1
49_158_20260222_161521    M94971901_20260222_193627    160    BAND5    1
49_158_20260222_161521    M94971901_20260222_202017    160    BAND5    1
49_158_20260222_161521    M94971901_20260222_210441    160    BAND5    1
49_158_20260222_161521    M94971901_20260222_220019    160    BAND5    1
49_158_20260222_161521    M94971901_20260222_224608    160    BAND5    1
49_158_20260222_161521    M94971901_20260222_233010    160    BAND5    1
49_158_20260222_161521    M94971901_20260223_001350    160    BAND5    1
49_158_20260222_161521    M94971901_20260223_005741    160    BAND5    1
49_158_20260222_161521    M94971901_20260223_014110    160    BAND5    1
DDTC458_20251230_061951    J1634+44_20251230_064340    160    BAND4    0
DDTC458_20251230_061951    J1634NG_20251230_063938    160    BAND4    0
DDTC459_20260102_223829    NGC3516_20260102_231953    160    BAND5    0
DDTC459_20260102_223829    NGC3516_20260102_235534    160    BAND5    0
DDTC459_20260102_223829    NGC3516_20260103_003138    160    BAND5    0
DDTC459_20260102_223829    NGC3516_20260103_010720    160    BAND5    0
